kind,description,ua
Browsers - Windows,Chrome 18.6 (Win 7),"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/18.6.872.0 Safari/535.2 UNTRUSTED/1.0 3gpp-gba UNTRUSTED/1.0"
Browsers - Windows,Chrome 19.0 (Win 8 - NT 6.2),"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1061.1 Safari/536.3"
Browsers - Windows,Chrome 20.0 (Win 7),"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.6 (KHTML, like Gecko) Chrome/20.0.1092.0 Safari/536.6"
Browsers - Windows,Chrome 20.0 (Win 8),"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.6 (KHTML, like Gecko) Chrome/20.0.1090.0 Safari/536.6"
Browsers - Windows,Chrome 22.0 (Win 7 - 64 bit),"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/22.0.1207.1 Safari/537.1"
Browsers - Windows,Firefox 3.0.2pre (Win XP 64),Mozilla/5.0 (Windows; U; Windows NT 6.0 x64; en-US; rv:1.9pre) Gecko/2008072421 Minefield/3.0.2pre
Browsers - Windows,Firefox 3.0.10 (Win XP),Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
Browsers - Windows,Firefox 3.0.11 (Vista)   .NET,Mozilla/5.0 (Windows; U; Windows NT 6.0; en-GB; rv:1.9.0.11) Gecko/2009060215 Firefox/3.0.11 (.NET CLR 3.5.30729)
Browsers - Windows,Firefox 3.5.6 (Vista),Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 GTB5
Browsers - Windows,Firefox 3.6.8 (XP),Mozilla/5.0 (Windows; U; Windows NT 5.1; tr; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8 ( .NET CLR 3.5.30729; .NET4.0E)
Browsers - Windows,Firefox 4.01 (Win 7 32),Mozilla/5.0 (Windows NT 6.1; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
Browsers - Windows,Firefox 4.01 (Win 7 64),Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
Browsers - Windows,Firefox 5.0 (XP),Mozilla/5.0 (Windows NT 5.1; rv:5.0) Gecko/20100101 Firefox/5.0
Browsers - Windows,Firefox 6.0a2 (Win 7 64),Mozilla/5.0 (Windows NT 6.1; WOW64; rv:6.0a2) Gecko/20110622 Firefox/6.0a2
Browsers - Windows,Firefox 7.0.1 (Win 7 64),Mozilla/5.0 (Windows NT 6.1; WOW64; rv:7.0.1) Gecko/20100101 Firefox/7.0.1
Browsers - Windows,Firefox 10.0.1 (Win 7 64),Mozilla/5.0 (Windows NT 6.1; WOW64; rv:10.0.1) Gecko/20100101 Firefox/10.0.1
Browsers - Windows,Firefox 12.0 (Win 7 32),Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/20120403211507 Firefox/12.0
Browsers - Windows,Firefox 14.0.1 (Win Vista),Mozilla/5.0 (Windows NT 6.0; rv:14.0) Gecko/20100101 Firefox/14.0.1
Browsers - Windows,Firefox 15.0a1 (Win 7 64),Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20120427 Firefox/15.0a1
Browsers - Windows,Firefox 16.0 (Win 8 64),Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0) Gecko/16.0 Firefox/16.0
Browsers - Windows,Firefox 19.0 (Win 8 32),Mozilla/5.0 (Windows NT 6.2; rv:19.0) Gecko/20121129 Firefox/19.0
Browsers - Windows,Firefox 20.0 (Win 8 32),Mozilla/5.0 (Windows NT 6.2; rv:20.0) Gecko/20121202 Firefox/20.0
Browsers - Windows,Maxthon 2.0 (Trident/MSIE) (Win  7),Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Maxthon 2.0)
Browsers - Windows,Minefield (Firefox nightly) 4.0b4pre (Win 7),Mozilla/5.0 (Windows NT 6.1; WOW64; rv:2.0b4pre) Gecko/20100815 Minefield/4.0b4pre
Browsers - Windows,MSIE 5.5 (Win 2000),Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0 )
Browsers - Windows,MSIE 5.5 (Win ME),Mozilla/4.0 (compatible; MSIE 5.5; Windows 98; Win 9x 4.90)
Browsers - Windows,Multizilla 1.6 (Win XP),Mozilla/5.0 (Windows; U; Windows XP) Gecko MultiZilla/1.6.1.0a
Browsers - Windows,Netscape 2.02 (Win 95),Mozilla/2.02E (Win95; U)
Browsers - Windows,Netscape 3.01 gold (Win 95),Mozilla/3.01Gold (Win95; I)
Browsers - Windows,Netscape 4.8 (Win XP),Mozilla/4.8 [en] (Windows NT 5.1; U)
Browsers - Windows,Netscape 7.1 (Win 98),Mozilla/5.0 (Windows; U; Win98; en-US; rv:1.4) Gecko Netscape/7.1 (ax)
Browsers - Windows,Opera 7.5 (Win XP),Opera/7.50 (Windows XP; U)
Browsers - Windows,Opera 7.5 (Win ME),Opera/7.50 (Windows ME; U) [en]
Browsers - Windows,Opera 7.51 (Win XP),Opera/7.51 (Windows NT 5.1; U) [en]
Browsers - Windows,Opera 8.0 (Win 2000),Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; en) Opera 8.0
Browsers - Windows,Opera 9.25 - (Vista),Opera/9.25 (Windows NT 6.0; U; en)
Browsers - Windows,Opera 10.10 (id as 9.8) (Server 2003),Opera/9.80 (Windows NT 5.2; U; en) Presto/2.2.15 Version/10.10
Browsers - Windows,Opera 11.10 (id as 9.8) (Win XP),Opera/9.80 (Windows NT 5.1; U; zh-tw) Presto/2.8.131 Version/11.10
Browsers - Windows,Opera 11.01 (id as 9.8) (Win 7),Opera/9.80 (Windows NT 6.1; U; en) Presto/2.7.62 Version/11.01
Browsers - Windows,Opera 12.00 (id as 9.8) (Win 7),Opera/9.80 (Windows NT 6.1; U; es-ES) Presto/2.9.181 Version/12.00
Browsers - Windows,Opera 12.14 (id as 9.8) (Win Vista),Opera/9.80 (Windows NT 6.0) Presto/2.12.388 Version/12.14
Browsers - Windows,Phoenix 0.2 (NT 4.0),Mozilla/5.0 (Windows; U; WinNT4.0; en-US; rv:1.2b) Gecko/20021001 Phoenix/0.2
Browsers - Windows,Safari 531.21 (Win XP),"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/531.21.8 (KHTML, like Gecko) Version/4.0.4 Safari/531.21.10"
Browsers - Windows,SeaMonkey 1.1.18 (Win XP),Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.1.23) Gecko/20090825 SeaMonkey/1.1.18
Browsers - Windows,SeaMonkey (Mozilla) 2.0 (Win 7),Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.1.17) Gecko/20110123 (like Firefox/3.x) SeaMonkey/2.0.12
Browsers - Windows,SeaMonkey (Mozilla) 2.7.1 (NT 5.2),Mozilla/5.0 (Windows NT 5.2; rv:10.0.1) Gecko/20100101 Firefox/10.0.1 SeaMonkey/2.7.1
Browsers - Windows,Arora 0.8.0 - (Windows),"Mozilla/5.0 (Windows; U; ; en-NZ) AppleWebKit/527  (KHTML, like Gecko, Safari/419.3) Arora/0.8.0"
Browsers - Windows,Avant Browser - MSIE 7 (Win XP),Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Avant Browser; Avant Browser; .NET CLR 1.0.3705; .NET CLR 1.1.4322; Media Center PC 4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30)
Browsers - Windows,Beamrise - (Win 7) - Webkit 535.8,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.8 (KHTML, like Gecko) Beamrise/17.2.0.9 Chrome/17.0.939.0 Safari/535.8"
Browsers - Windows,Chrome 28.0 (Win 7 - 64 bit),Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/28.0.1469.0 Safari/537.36
Browsers - Windows,Chrome 28.0 (Win 8 - 64 bit),Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/28.0.1469.0 Safari/537.36
Browsers - Windows,Chrome 32.0 (Win 8 - 64 bit),"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1667.0 Safari/537.36"
Browsers - Windows,Chrome 36.0 (Win 8 - 64 bit),"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.67 Safari/537.36"
Browsers - Windows,Chrome 37.0 (Win 8.1 - 64 bit),"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2049.0 Safari/537.36"
Browsers - Windows,Chrome 41.0 (Win 7 - 32 bit),"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
Browsers - Windows,Chrome 45.0 (Win 10 - 64 bit),"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36"
Browsers - Windows,Chrome 45.0 (Win Vista - 32 bit),"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36"
Browsers - Windows,Chrome 51.0 (Win 10 - 64 bit),"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
Browsers - Windows,Chrome 55.0 (Win 10 - 64 bit),"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2869.0 Safari/537.36"
Browsers - Windows,Chrome 57.0 AOL (Win 10 - 64 bit),"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 AOL/11.0 AOLBUILD/11.0.1305 Safari/537.36"
Browsers - Windows,Chrome 62.0 (Win 10 - 64 bit),"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3191.0 Safari/537.36"
Browsers - Windows,Edge (Microsoft) 12.0 (EdgeHTML) Chrome 39 (Win 10 - 64 bit),"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36 Edge/12.0"
Browsers - Windows,Edge (Microsoft) 12.1 (EdgeHTML) Chrome 42 (Win 10 - 64 bit),"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240"
Browsers - Windows,Edge (Microsoft) 14.14 (EdgeHTML) Chrome 51 (Win 10 - 64 bit),"Mozilla/5.0 (MSIE 9.0; Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14931"
Browsers - Windows,Edge (Microsoft) 15.15 (EdgeHTML) Chrome 52 (Win 10),"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063"
Browsers - Windows,Firefox 21.0 (Win 7 32),Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20130401 Firefox/21.0
Browsers - Windows,Firefox 25.0 (Win 7 64),Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:25.0) Gecko/20100101 Firefox/25.0
Browsers - Windows,Firefox 29.0 (Win 7 64 bit),Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:25.0) Gecko/20100101 Firefox/29.0
Browsers - Windows,Firefox 31.0 (Win XP),Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0
Browsers - Windows,Firefox 35.0 (Win 7 64 bit),Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:35.0) Gecko/20100101 Firefox/35.0
Browsers - Windows,Firefox 36.0 (Win 8.1 32 bit),Mozilla/5.0 (Windows NT 6.3; rv:36.0) Gecko/20100101 Firefox/36.0
Browsers - Windows,Firefox 39.0 (Win 8.0 64 bit),Mozilla/5.0 (Windows NT 6.2; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0
Browsers - Windows,Firefox 40.0 (Win Vista),Mozilla/5.0 (Windows NT 6.0; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0
Browsers - Windows,Firefox 40.0 (Win 10),Mozilla/5.0 (Windows NT 10.0; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0
Browsers - Windows,Firefox 47.0 (Win 10),Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0
Browsers - Windows,Firefox 52.0 (Win 10),Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:52.0) Gecko/20100101 Firefox/52.0
Browsers - Windows,Firefox 57.0 (Win 10 64 bit),Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0
Browsers - Windows,iTunes 9.0.2 (Windows),iTunes/9.0.2 (Windows; N)
Browsers - Windows,Konqueror 4.5 (Win XP - KDE native),Mozilla/5.0 (compatible; Konqueror/4.5; Windows) KHTML/4.5.4 (like Gecko)
Browsers - Windows,Maxthon 3.0 (Webkit) (Vista),"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/533.1 (KHTML, like Gecko) Maxthon/3.0.8.2 Safari/533.1"
Browsers - Windows,Maxthon 4.0 (Chrome 22) (Win7 64 bit),Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML like Gecko) Maxthon/4.0.0.2000 Chrome/22.0.1229.79 Safari/537.1
Browsers - Windows,Maxthon 4.4 (Chrome 30) (Win7 64 bit),"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Maxthon/4.4.6.1000 Chrome/30.0.1599.101 Safari/537.36"
Browsers - Windows,Maxthon 5.0 (Chrome 47) (Win7 64 bit),"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Maxthon/5.0.4.3000 Chrome/47.0.2526.73 Safari/537.36"
Browsers - Windows,MSIE 6 (Win XP),Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
Browsers - Windows,MSIE 7 (Vista),Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)
Browsers - Windows,MSIE 8 - standard mode (Win XP),Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)
Browsers - Windows,MSIE 8 - standard mode (Win 7),Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)
Browsers - Windows,MSIE 8 - compat mode (Vista),Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/4.0)
Browsers - Windows,MSIE 8 - standard mode (Vista),Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0)
Browsers - Windows,MSIE 9 - compat mode (Vista),Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.0)
Browsers - Windows,MSIE 9 - standard mode (Win 7),Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)
Browsers - Windows,MSIE 9 - standard mode (NT 6.2 32 Win 8),Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/5.0)
Browsers - Windows,MSIE 9 - standard mode (NT 6.2 64 Win 8),Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; WOW64; Trident/5.0)
Browsers - Windows,MSIE 9 - standard mode (with Zune plugin) (NT 6.1 Win 7),Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; Media Center PC 6.0; InfoPath.3; MS-RTC LM 8; Zune 4.7)
Browsers - Windows,MSIE 10 - standard mode (Win 7 64),Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)
Browsers - Windows,MSIE 10 - compat mode (Win 7 64),Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/6.0)
Browsers - Windows,MSIE 10.6 - (Win 7 32),Mozilla/5.0 (compatible; MSIE 10.6; Windows NT 6.1; Trident/5.0; InfoPath.2; SLCC1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET CLR 2.0.50727) 3gpp-gba UNTRUSTED/1.0
Browsers - Windows,MSIE 11.0 - (Win 7 64),Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Browsers - Windows,MSIE 11.0 - (Win 8.1 32),Mozilla/5.0 (Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko
Browsers - Windows,MSIE 11.0 (compatibility mode IE 7)- (Win 8.1 32),Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.3; Trident/7.0; .NET4.0E; .NET4.0C)
Browsers - Windows,MxBrowser (Chrome 30)- (Win XP),"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) MxBrowser/4.5.10.7000 Chrome/30.0.1551.0 Safari/537.36"
Browsers - Windows,MSIE 11.0 (Win 10),Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko
Browsers - Windows,MSIE 11.0 touch (Win 10 64 bit),Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; MALNJS; rv:11.0) like Gecko
Browsers - Windows,Opera 12.16 (id as 9.8) (Win 7),Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
Browsers - Windows,Opera 14.0 (Chrome 27) (Win 7),"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.12 Safari/537.36 OPR/14.0.1116.4"
Browsers - Windows,Opera 15.0 (Chrome 28) (Win 7),"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.29 Safari/537.36 OPR/15.0.1147.24 (Edition Next)"
Browsers - Windows,Opera 18.0 (Chrome 31) (Win 8.1),"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.57 Safari/537.36 OPR/18.0.1284.49"
Browsers - Windows,Opera 19.0 (Chrome 32) (Win 7),"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36 OPR/19.0.1326.56"
Browsers - Windows,Opera 20.0 (Chrome 33) (Win 7 64 bit),"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36 OPR/20.0.1387.91"
Browsers - Windows,Opera 28.0 (Chrome 41) (Win 8 64 bit),"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.76 Safari/537.36 OPR/28.0.1750.40"
Browsers - Windows,Opera 31.0 (Chrome 44) (Win 7 64 bit),"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36 OPR/31.0.1889.174"
Browsers - Windows,Opera 36.0 (Chrome 49) (Win 10 64 bit),"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36 OPR/36.0.2130.46"
Browsers - Windows,Opera 47.0 (Chrome 60) (Win 10 64 bit),"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.78 Safari/537.36 OPR/47.0.2631.55"
Browsers - Windows,Palemoon 27.4 (Firefox 45.9) (Win 10),Mozilla/5.0 (Windows NT 10.0; rv:45.9) Gecko/20100101 Goanna/3.2 Firefox/45.9 PaleMoon/27.4.0
Browsers - Windows,Safari 533.17 (Server 2003/64 bit),"Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/533.17.8 (KHTML, like Gecko) Version/5.0.1 Safari/533.17.8"
Browsers - Windows,Safari 533.19 (Win 7),"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5"
Browsers - Windows,Safari 6.0 (Win 8),Mozilla/5.0 (Windows; U; Windows NT 6.2; es-US ) AppleWebKit/540.0 (KHTML like Gecko) Version/6.0 Safari/8900.00
Browsers - Windows,Safari 7.0 (Win 7),Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.71 (KHTML like Gecko) WebVideo/1.0.1.10 Version/7.0 Safari/537.71
Browsers - Windows,SeaMonkey (Mozilla) 2.9 (Win7 64 bit),Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20120422 Firefox/12.0 SeaMonkey/2.9
Browsers - Windows,SeaMonkey (Mozilla) 2.33 (Win Vista),Mozilla/5.0 (Windows NT 6.0; rv:36.0) Gecko/20100101 Firefox/36.0 SeaMonkey/2.33.1
Browsers - Windows,UBrowser 5.6 2.33 (chrome/webkit) (Win 10),"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 UBrowser/5.6.13705.206 Safari/537.36"
Browsers - Windows,Vivaldi 1.0.94 (Blink) (Win 7),"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.89 Vivaldi/1.0.94.2 Safari/537.36"
Browsers - Windows,Vivaldi 1.4 (Blink) (Win 10),"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.90 Safari/537.36 Vivaldi/1.4.589.11"
Browsers - Windows,Vivaldi 1.92 (Blink) (Win 10),"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.91 Safari/537.36 Vivaldi/1.92.917.39"
Browsers - Windows,Yowser 2.5 (Blink - Chrome 56) (Win XP),"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 YaBrowser/17.3.0.1785 Yowser/2.5 Safari/537.36"
Browsers - Mac,Camino 2.2.1 (Firefox 4.0.1) (OS X 10.6 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:2.0.1) Gecko/20100101 Firefox/4.0.1 Camino/2.2.1
Browsers - Mac,Camino 2.2a1pre (Firefox 4.0.1) (OS X 10.6 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:2.0b6pre) Gecko/20100907 Firefox/4.0b6pre Camino/2.2a1pre
Browsers - Mac,Chrome 4.0 (OS X 10_5_8 Intel),"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-US) AppleWebKit/532.8 (KHTML, like Gecko) Chrome/4.0.302.2 Safari/532.8"
Browsers - Mac,Chrome 6.0 (OS X 10_6_4 Intel),"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.3 (KHTML, like Gecko) Chrome/6.0.464.0 Safari/534.3"
Browsers - Mac,Chrome 9.0 (OS X 10_6_5 Intel),"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_5; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/9.0.597.15 Safari/534.13"
Browsers - Mac,Chrome 14.0 (OS X 10_7_2 Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.186 Safari/535.1"
Browsers - Mac,Chrome 15.0 (OS X 10_6_8 Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.54 Safari/535.2"
Browsers - Mac,Chrome 16.0 (OS X 10_6_8 Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.36 Safari/535.7"
Browsers - Mac,Chrome 19.0 (OS X 10_8_0 Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1063.0 Safari/536.3"
Browsers - Mac,Chrome 22.0 (OS X 10_8_2 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.4 (KHTML like Gecko) Chrome/22.0.1229.79 Safari/537.4
Browsers - Mac,Firefox 0.9 (OS X Mach),Mozilla/5.0 (Macintosh; U; Mac OS X Mach-O; en-US; rv:2.0a) Gecko/20040614 Firefox/3.0.0
Browsers - Mac,Firefox 3.0.3 (OS X PPC),Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10.5; en-US; rv:1.9.0.3) Gecko/2008092414 Firefox/3.0.3
