description,ua
Agada search (Germany) robot,agadine/1.x.x (+http://www.agada.de)
SharewarePlaza link checking,Agent-SharewarePlazaFileCheckBot/2.0+(+http://www.SharewarePlaza.com)
Linkomatic submission verifier,AgentName/0.1 libwww-perl/5.48
21seek.com (China) robot (218.17.90.xxx),AIBOT/2.1 By +(www.21seek.com A Real artificial intelligence search engine China)
AideRss - Postrank RSS and Blog filtering,AideRSS/1.0 (aiderss.com)
Nameprotect copyright search robot (24.177.134.x),aipbot/1.0 (aipbot; http://www.aipbot.com; aipbot@aipbot.com)
Nameprotect copyright search robot (24.177.134.x),aipbot/2-beta (aipbot dev; http://aipbot.com; aipbot@aipbot.com)
Akregator news feed reader for KDE,Akregator/1.2.9; librss/remnants
Aladin robot,Aladin/3.324
Phone.com UP.Browser for mobiles on Alcatel cellphone,Alcatel-BG3/1.0 UP.Browser/5.0.3.1.2
Aleksika Danmark - Search engine optimization spider,Aleksika Spider/1.0 (+http://www.aleksika.com/)
Alertinfo - French version of Feedreader 3.xx ,AlertInfo 2.0 (Powered by Newsbrain)
Vestris robot,AlkalineBOT/1.3
Vestris robot,AlkalineBOT/1.4 (1.4.0326.0 RTM)
Allesklar.de robot,Allesklar/0.1 libwww-perl/5.46
Alligator download manager,Alligator 1.31 (www.nearsoftware.com)
Unknown robot from Allrati.com,Allrati/1.1 (+)
Altavista robot,AltaVista Intranet V2.0 AVS EVAL search@freeit.com
Altavista robot,AltaVista Intranet V2.0 Compaq Altavista Eval sveand@altavista.net
Altavista robot,AltaVista Intranet V2.0 evreka.com crawler@evreka.com
Altavista robot,AltaVista V2.0B crawler@evreka.com
Amaya - W3C's Editor/Browser,amaya/x.xx libwww/x.x.x
Amfibi Search robot,AmfibiBOT
Amfibi Search robot,Amfibibot/0.06 (Amfibi Web Search; http://www.amfibi.com; agent@amfibi.com)
Amfibi Search robot,Amfibibot/0.07 (Amfibi Robot; http://www.amfibi.com; agent@amfibi.com)
amibot - Amidalla search engine robot (62.241.33.xx),amibot
AWeb Amiga browser,Amiga-AWeb/3.4.167SE
Voyager - Amiga browser,AmigaVoyager/3.4.4 (MorphOS/PPC native)
Amiga Miami TCP Stack,AmiTCP Miami (AmigaOS 2.04)
NF embedded browser on Amois Skypephone,Amoi 8512/R21.0 NF-Browser/3.3
Amazon.com robot for checking their affiliate sites,amzn_assoc
Annomille Italian historical oriented robot,AnnoMille spider 0.1 alpha - http://www.annomille.it
annotate Google - Firefox extension for annotating Google search results,annotate_google; http://ponderer.org/download/annotate_google.user.js
Megaproxy user,Anonymized by ProxyOS: http://www.megaproxy.com
faked user agent,Anonymizer/1.1
AnswerBus natural language search using COLLATE technology,AnswerBus (http://www.answerbus.com/)
AnswerChase search tool,AnswerChase PROve x.0
AnswerChase search tool,AnswerChase x.0
ANT Fresco Browser,ANTFresco/x.xx
Antibot (discontinued) robot,antibot-V1.1.5/i586-linux-2.2
Anzwers (Yahoo) Australia robot,AnzwersCrawl/2.0 (anzwerscrawl@anzwers.com.au;Engine)
Apexoo Search spider,Apexoo Spider 1.x
JavaOS app. for SEGA Saturn Internet and Sanyo Internet-TV,Aplix HTTP/1.0.1
JavaOS app. for Sanyo Internet-TV,Aplix_SANYO_browser/1.x (Japanese)
JavaOS app. for SEGA Saturn Internet,Aplix_SEGASATURN_browser/1.x (Japanese)
Aport robot,Aport
Walhello Internet Search robot,appie 1.1 (www.walhello.com)
CoreMedia player on Apple iPhone,Apple iPhone v1.1.4 CoreMedia v1.0.0.4A102
PubSub - Mac OS X utility for managing RSS/Atom subscriptions via the PubSub framework,Apple-PubSub/65.1.1
Araby search - Arabia,ArabyBot (compatible; Mozilla/5.0; GoogleBot; FAST Crawler 6.4; http://www.araby.com;)
Covac Arachnid Web Crawler,ArachBot
Euroseek spider,Arachnoidea (arachnoidea@euroseek.com)
Amazon.com robot for checking their affiliate sites,aranhabot
Excite spider,ArchitextSpider
Heritrix - The Internet Archive's open-source crawler (207.241.225.2xx),archive.org_bot
Simpy Bookmarklet crawler (69.55.233.xx),Argus/1.1 (Nutch; http://www.simpy.com/bot.html; feedback at simpy dot com)
Arikus inContext search engine software,Arikus_Spider
Tomba project: the Portuguese web archive,Arquivo-web-crawler  (compatible; heritrix/1.12.1 +http://arquivo-web.fccn.pt)
Asaha search robot (Turkey),ASAHA Search Engine Turkey V.001 (http://www.asaha.com/)
ASAHINA Antenna information detecting agent,Asahina-Antenna/1.x
ASAHINA Antenna information detecting agent,Asahina-Antenna/1.x (libhina.pl/x.x ; libtime.pl/x.x)
Ask 24x Info robot,ask.24x.info
Ask About Oil - Petroleum related search (24.227.212.xxx) using Nutch,AskAboutOil/0.06-rcp (Nutch; http://www.nutch.org/docs/en/bot.html; nutch-agent@askaboutoil.com)
askEd! / Inferret search (Japan) robot using Nutch,asked/Nutch-0.8 (web crawler; http://asked.jp; epicurus at gmail dot com)
ASPSeek search engine software -Yahoo-Inc. / Telecom Canada robot ,ASPSeek/1.2.5
Swsoft.net robot using Aspseek,ASPseek/1.2.9d
ASPSeek search engine software,ASPSeek/1.2.x
ASPSeek search engine software,ASPSeek/1.2.xa
ASPSeek search engine software,ASPseek/1.2.xx
ASPSeek search engine software,ASPSeek/1.2.xxpre
Associative Sort robot,ASSORT/0.10
Singingfish media spider (64.12.186.2xx) via AOL search,asterias/2.0
Atlocal local business search robot,AtlocalBot/1.1 +(http://www.atlocal.com/local-web-site-owner.html)
Atomic Email Hunter email extracing and harvesting,Atomic_Email_Hunter/4.0
Atomz robot,Atomz/1.0
atSpider (ceased) email harvester / spambot,atSpider/1.0
Attentio social media monitoring and analysing ,Attentio/Nutch-0.9-dev (Attentio's beta blog crawler; www.attentio.com; info@attentio.com)
Samsung SPH-A660 phone with Sprint software,AU-MIC/2.0 MMP/2.0
Audiovox SMT5600 (AT&T) Smartphone mobile phone browser,AUDIOVOX-SMT5600
Augurnet Swiss (was www.augurnet.ch) search robot,augurfind
Augurnet Swiss (was www.augurnet.ch) search robot,augurnfind V-1.x
Auto Email Pro Email harvester,autoemailspider
Linkscan tool from Elsop,autohttp
Autowebdir - The Automatically Generated Web Directory,autowebdir 1.1 (www.autowebdir.com)
Altavista robot ??,AV Fetch 1.0
Avant Browser - IE based browser,Avant Browser (http://www.avantbrowser.com)
National Research Council Canada robot,AVSearch-1.0(peter.turney@nrc.ca)
Unknown robot from 205.203.108.xx (telerate.com),AVSearch-2.0-fusionIdx-14-CompetitorWebSites
Altavista robot,AVSearch-3.0(AltaVista/AVC)
AWeb Amiga browser,AWeb
Axada search Germany robot,axadine/ (Axadine Crawler; http://www.axada.de/; )
Axmo search robot,AxmoRobot - Crawling your site for better indexing on www.axmo.com search engine.
Azureus Java BitTorrent Client,Azureus 2.x.x.x
Babaloo search robot (Slovenia),BabalooSpider/1.3 (BabalooSpider; http://www.babaloo.si; spider@babaloo.si)
BaBoom Web Portal (ODP) robot (66.98.254.xx),BaboomBot/1.x.x (+http://www.baboom.us)
BackStreet Browser - Offline browser / website downloader,BackStreet Browser 3.x
Baidu search (Japan) image crawler,BaiduImagespider+(+http://www.baidu.jp/search/s308.html)
Baidu spidering engine - used by diff. IPs,BaiDuSpider
Baidu spidering engine - used by diff. IPs,Baiduspider+(+http://help.baidu.jp/system/05.html)
Baidu spidering engine - used by diff. IPs,Baiduspider+(+http://www.baidu.com/search/spider.htm)
Baidu search (Japan) crawler,Baiduspider+(+http://www.baidu.com/search/spider_jp.html)
Balihoo - Vertical search engine crawler (beta),Balihoo/Nutch-1.0-dev (Crawler for Balihoo.com search engine - obeys robots.txt and robots meta tags ; http://balihoo.com/index.aspx; robot at balihoo dot com)
Project BanBots Perl script robot,BanBots/1.2 (spider@banbots.com)
Barca Pro email & PIM software,Barca/2.0.xxxx
Barca Pro email & PIM software,BarcaPro/1.4.xxxx
Barrahome crawler,BarraHomeCrawler (albertof@barrahome.org)
Unknown user agent from Microsoft,bCentral Billing Post-Process
Business.com robot,bdcindexer_2.6.2 (research@bdc)
Brandimensions Brand Protection robot,BDFetch
Bdncentral Sitesearch robot,BDNcentral Crawler v2.3 [en] (http://www.bdncentral.com/robot.html) (X11; I; Linux 2.0.44 i686)
beammachine web directory (Germany) link checking,BeamMachine/0.5 (dead link remover of www.beammachine.net)
Beauty robot for Cosmoty - German beauty and wellness search,beautybot/1.0 (+http://www.uchoose.de/crawler/beautybot/)
A Passion for Jazz music related search robot,BebopBot/2.5.1 ( crawler http://www.apassion4jazz.net/bebopbot.html )
LinkcheckerBeepware (site is down) web directory link checking,BeebwareDirectory/v0.01
Big Brother link checking tool,Big Brother (http://pauillac.inria.fr/~fpottier/)
GoonGee.com link popularity checking,Big Fish v1.0
BB4 network monitoring,BigBrother/1.6e
BigClique Search robot,BigCliqueBOT/1.03-dev (bigclicbot; http://www.bigclique.com; bot@bigclique.com)
Biglotron search (France) robot,BIGLOTRON (Beta 2;GNU/Linux)
Bigsearch.ca search robot,Bigsearch.ca/Nutch-x.x-dev (Bigsearch.ca Internet Spider; http://www.bigsearch.ca/; info@enhancededge.com)
Bilbo - web frontend for the Nessus Security Scanner,Bilbo/2.3b-UNIX
Bilgi.com (Beta) search robot - Turkey,BilgiBetaBot/0.8-dev (bilgi.com (Beta) ; http://lucene.apache.org/nutch/bot.html; nutch-agent@lucene.apache.org)
Bilgi.com (Beta) search robot - Turkey,BilgiBot/1.0(beta) (http://www.bilgi.com/; bilgi at bilgi dot com)
Carnegie Mellon School robot/link checking ?,billbot wjj@cs.cmu.edu
Bitacle Blog Search Archive robot,Bitacle bot/1.1
Bitacle Blog Search Archive robot,Bitacle Robot (V:1.0;) (http://www.bitacle.com)
Biyubi Navigator - Mexican browser for Fenix OS,Biyubi/x.x (Sistema Fenix; G11; Familia Toledo; es-mx)
Blackberry Wireless Internet browser via Google WAP Proxy,BlackBerry7520/4.0.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 UP.Browser/5.0.3.3 UP.Link/5.1.2.12 (Google WAP Proxy/1.0)
FS Consulting (was www.fsconsult.net) Black Widow web crawler,BlackWidow
BlackWidow web site scanner / downloading tool,BlackWidow
Blaiz Enterprises RawGrunt search,Blaiz-Bee/1.0 (+http://www.blaiz.net)
Blaiz Enterprises RawGrunt search,Blaiz-Bee/2.00.8222 (BE Internet Search Engine http://www.rawgrunt.com)
Blaiz Enterprises RawGrunt search,Blaiz-Bee/2.00.xxxx (+http://www.blaiz.net)
Blitzsuche Germany robot,BlitzBOT@tricus.net
Blitzsuche Germany robot,BlitzBOT@tricus.net (Mozilla compatible)
BlockNote web page editor,BlockNote.Net
blogdex robot from MIT.edu,BlogBot/1.x
BlogBridge RSS reader,BlogBridge 2.13 (http://www.blogbridge.com/)
Bloglines article search,Bloglines Title Fetch/1.0 (http://www.bloglines.com)
Bloglines graphics crawler,Bloglines-Images/0.1 (http://www.bloglines.com)
Bloglines news crawler,Bloglines/3.1 (http://www.bloglines.com)
FeedMap / BlogMap geo coding service,BlogMap (http://www.feedmap.net)
Intelliseek's BlogPulse blog search,Blogpulse (info@blogpulse.com)
Intelliseek's BlogPulse blog search,BlogPulseLive (support@blogpulse.com)
IceRocket Web search robot,BlogSearch/1.x +http://www.icerocket.com/
Art of Computing blog search project,blogsearchbot-pumpkin-3
BlogsNow realtime link tracker robot,"BlogsNowBot, V 2.01 (+http://www.blogsnow.com/)"
BlogVipe news and Blog crawler (Netherlands),BlogVibeBot-v1.1 (spider@blogvibe.nl)
blogWatcher robot from Okumura Group Tokyo (131.112.182.xxx),blogWatcher_Spider/0.1 (http://www.lr.pi.titech.ac.jp/blogWatcher/)
IceRocket Web search robot,BlogzIce/1.0 (+http://icerocket.com; rhodes@icerocket.com)
IceRocket Web search robot,BlogzIce/1.0 +http://www.icerocket.com/
Blooby search (beta) robot,BloobyBot
Balihoo - Search Engine for Advertising Media,Bloodhound/Nutch-0.9 (Testing Crawler for Research - obeys robots.txt and robots meta tags ; http://balihoo.com/index.aspx; robot at balihoo dot com)
Bluefish HTML-editor for Linux,bluefish 0.6 HTML editor
Part of ButtMan remote access tool,BMCLIENT
Bookmark Express bookmark manager,BMLAUNCHER
Bobby web accessibility desktop testing tool,Bobby/4.0.x RPT-HTTPClient/0.3-3E
Boitho search (Norway) robot via 80.202.212.xx / 80.80.111.xx,boitho.com-dc/0.xx (http://www.boitho.com/dcbot.html)
Boitho search (Norway) robot via 80.202.212.xx / 80.80.111.xx,boitho.com-robot/1.x
Boitho search (Norway) robot via 80.202.212.xx / 80.80.111.xx,boitho.com-robot/1.x (http://www.boitho.com/bot.html)
Bookdog - Mac bookmark manager,Bookdog/x.x
Bookmark Buddy - favorite bookmark manager ,Bookmark Buddy bookmark checker (http://www.bookmarkbuddy.net/)
Favourites managing program,Bookmark Renewal Check Agent [http://www.bookmark.ne.jp/]
Favourites managing program,Bookmark Renewal Check Agent [http://www.bookmark.ne.jp/] (Version 2.0beta)
Bookmark Base bookmark manager,BookmarkBase(2/;http://bookmarkbase.com)
cybercity.fr user robot / faked user agent ?,Bot mailto:craftbot@yahoo.com
BD-Brandprotect copyright infringement crawler,BPImageWalker/2.0 (www.bdbrandprotect.com)
BravoBrian bSTOP parental control,BravoBrian bstop.bravobrian.it
Robot for BravoBrian bSTOP,BravoBrian SpiderEngine MarcoPolo
BrightCloud web filtering for classifying websites,BrightCrawler (http://www.brightcloud.com/brightcrawler.asp)
Webarchive Project Bruinbot crawler,BruinBot (+http://webarchive.cs.ucla.edu/bruinbot.html) 
Inktomi (Hotbot-Lycos NBCi) robot,BSDSeek/1.0
BravoBrian bSTOP parental control,BStop.BravoBrian.it Agent Detector
BitTorrent Search Engine btbot robot,BTbot/0.x (+http://www.btbot.com/btbot.html)
µTorrent BitTorrent Client,BTWebClient/180B(9704)
BuildCMS crawler - market monitoring project of BuildCMS,BuildCMS crawler (http://www.buildcms.com/crawler)
Bulkfeeds: RSS directory link checking,Bulkfeeds/r1752 (http://bulkfeeds.net/)
BullsEye/Intelliseek robot,BullsEye
Relevare Portal software robot,bumblebee@relevare.com
Microsoft server information robot (see link),BunnySlippers
BurstFind search crawler (64.34.172.xx),BurstFindCrawler/1.1 (crawler.burstfind.com; http://crawler.burstfind.com; crawler@burstfind.com)
Buscaplus (Spain) robot,Buscaplus Robi/1.0 (http://www.buscaplus.com/robi/)
Logitech Desktop Managers (LDM) Backweb (BW) update check,BW-C-2.0
Basic Web Hacking 3 fake user-agent from Hellbound Hackers challenges,bwh3_user_agent
Amfibi Search robot,Cabot/Nutch-0.9 (Amfibi's web-crawling robot; http://www.amfibi.com/cabot/; agent@amfibi.com)
Amfibi Search robot,Cabot/Nutch-1.0-dev (Amfibi's web-crawling robot; http://www.amfibi.com/cabot/; agent@amfibi.com)
Evolution integrated mail solution Camel TCP stream class,CamelHttpStream/1.0
Some user agent,Cancer Information and Support International;
Cosmix project crawler (204.14.48.x / 38.113.234.xxx),carleson/1.0
Carnegie Mellon University WebBOT,Carnegie_Mellon_University_Research_WebBOT-->PLEASE READ-->http://www.andrew.cmu.edu/~brgordon/webbot/index.html http://www.andrew.cmu.edu/~brgordon/webbot/index.html
Carnegie Mellon University WebBOT,Carnegie_Mellon_University_WebCrawler http://www.andrew.cmu.edu/~brgordon/webbot/index.html
Catall.de search & web directory (Germany),Catall Spider
UIUCs Cazoodle search based on MetaQuerier,CazoodleBot/CazoodleBot-0.1 (CazoodleBot Crawler; http://www.cazoodle.com/cazoodlebot; cazoodlebot@cazoodle.com)
CommonCrawl Foundation search crawler,CCBot/1.0 (+http://www.commoncrawl.org/bot.html)
Empyreum Ccubee (Czech) search engine solution,ccubee/x.x
Timewe mobile browser (WAP) simulator (Japan),CDR/1.7.1 Simulator/0.7(+http://timewe.net) Profile/MIDP-1.0 Configuration/CLDC-1.0
Cisco Content Engine,CE-Preload
Nordic semantic search engine,CentiverseBot
Nordic semantic search engine,CentiverseBot - investigator
Nordic semantic search engine,CentiverseBot/3.0 (http://www.centiverse-project.net)
Floortransformed.com robot (link ckecking ??),Ceramic Tile Installation Guide (http://www.floorstransformed.com)
CERN Line Mode Browser,CERN-LineMode/2.15
Cosmix project crawler (204.14.48.x / 38.113.234.xxx),cfetch/1.0
MaxOS X CoreFoundation CFNetwork API,CFNetwork/x.x
cg-eye CGI checker,cg-eye interactive
Charon Amiga download manager,Charon/1.x (Amiga)
Chat Catcher blog monitoring robot,Chat Catcher/1.0
Checkbot link validation,Checkbot/1.xx LWP/5.xx
Checklinks - Perl link checker,CheckLinks/1.x.x
NTL user agent,CheckUrl
CheckWeb link validation,CheckWeb
Chilkat HTTP component user-agent,Chilkat/1.0.0 (+http://www.chilkatsoft.com/ChilkatHttpUA.asp)
Unknown spam bot from telekom.com.my (218.111.83.xxx),China Local Browse 2.6
Chitika Inc. Blog advertising,Chitika ContentHit 1.0
Christcentral.com Christcrawler (was www.christcrawler.com),ChristCRAWLER 2.0
CHttpClient - C++ class using WinInet,CHttpClient by Open Text Corporation
CipinetBot -Cipinet Search Engine Web Crawler,CipinetBot (http://www.cipinet.com/bot.html)
Cityreview regional search (Germany) link checking,Cityreview Robot (+http://www.cityreview.org/crawler/)
Commision Junction link checking spider,CJ Spider/
CJB Net anonymous socks proxy service (216.194.70.x),CJB.NET Proxy
Claria (ex Gator) SearchScout robot (64.152.73.xx),ClariaBot/1.0
Claymont Search robot,Claymont.com
Seznam Search (Czech Republic) robot,CloakDetect/0.9 (+http://fulltext.seznam.cz/)
Clush clustered search robot,Clushbot/2.x (+http://www.clush.com/bot.html)
Clush clustered search robot,Clushbot/3.x-BinaryFury (+http://www.clush.com/bot.html)
Clush clustered search robot,Clushbot/3.xx-Ajax (+http://www.clush.com/bot.html)
Clush clustered search robot,Clushbot/3.xx-Hector (+http://www.clush.com/bot.html)
Clush clustered search robot,Clushbot/3.xx-Peleus (+http://www.clush.com/bot.html)
COAST Webmaster - Web management and maintenance software,COAST WebMaster Pro/4.x.x.xx (Windows NT)
Proposed Content-Based Image Tracking System (CoBITS) P2P crawler,CoBITSProbe
Cocoa del.icio.us (social bookmarks manager) client for Mac OS X,Cocoal.icio.us/1.0 (v36) (Mac OS X; http://www.scifihifi.com/cocoalicious)
Cogent Search Bot from Cogent Software Solutions for unknown purposes,Cogentbot/1.X (+http://www.cogentsoftwaresolutions.com/bot.html)
Cold Fusion server used by various IPs i.e.: - NetWORLD web catalogue link checking,ColdFusion
Cold Fusion server used by Bookmark Tracker - online favourites managment,ColdFusion (BookmarkTracker.com)
WebCollage Syndicator graphics crawler/collector,collage.cgi/1.xx
Combine harvesting & indexing robot,combine/0.0
Combine harvesting & indexing robot,Combine/2.0 http://combine.it.lth.se/
Combine harvesting & indexing robot,Combine/3 http://combine.it.lth.se/
Combine harvesting & indexing robot,Combine/x.0
cometrics Web Content Mining solution - Germany,"cometrics-bot, http://www.cometrics.de"
Wildsoft Germany (closed) Internet client system user-agent (was www.oskarweb.de),Commerce Browser Center
UCLA Complex Networks Groups Complex Network Analysis,complex_network_group/Nutch-0.9-dev (discovering the structure of the world-wide-web; http://cantor.ee.ucla.edu/~networks/crawl; nimakhaj@gmail.com)
Hungarian Academy of Sciences data mining search,Computer_and_Automation_Research_Institute_Crawler crawler@ilab.sztaki.hu
ComRite Chinese Search Engine for Oversea Web Sites (69.248.26.xx),Comrite/0.7.1 (Nutch; http://lucene.apache.org/nutch/bot.html; nutch-agent@lucene.apache.org)
unknown,Contact
Probably E-Mail harvesting robot - same as LMQueueBot,ContactBot/0.2
ContentSmartz e-mail harvesting tools,ContentSmartz
Internet Explorer versions 4.x and 5 plugin content,contype
Converas RetrievalWare Internet Spider (63.241.61.x),Convera Internet Spider V6.x
Converas RetrievalWare Internet Spider (63.241.61.x),ConveraCrawler/0.2
Converas RetrievalWare Internet Spider (63.241.61.x),ConveraCrawler/0.9d (+http://www.authoritativeweb.com/crawl)
Converas RetrievalWare Internet Spider (63.241.61.x),ConveraMultiMediaCrawler/0.1 (+http://www.authoritativeweb.com/crawl)
Suchmaschine21 (Germany) robot,CoolBot
Cooliris photo and video browser,Cooliris/1.5 CFNetwork/459 Darwin/10.0.0d3
Coral Content Distribution Network,CoralWebPrx/0.1.1x (See http://coralcdn.org/)
Xyleme SA France robot,cosmos/0.8_(robot@xyleme.com)
Xyleme SA France robot,cosmos/0.9_(robot@xyleme.com)
Coteo.com - local French directory link checking,CoteoNutchCrawler/Nutch-0.9 (info [at] coteo [dot] com)
Cougarsearch.com robot,CougarSearch/0.x (+http://www.cougarsearch.com/faq.shtml)
Covac Arachnid Web Crawler,Covac TexAs Arachbot
CoverScout for iTunes - CD cover search tool,"CoverScout%203/3.0.1 CFNetwork/339.5 Darwin/9.5.0 (i386) (iMac5,1)"
Naver Japan / Korea robot,Cowbot-0.1 (NHN Corp. / +82-2-3011-1954 / nhnbot@naver.com)
Naver Japan / Korea robot,Cowbot-0.1.x (NHN Corp. / +82-2-3011-1954 / nhnbot@naver.com)
Converas RetrievalWare Internet Spider,CrawlConvera0.1 (CrawlConvera@yahoo.com)
unknown robot via Level3.net,Crawler
Cometsystems Comet Search robot via Findwhat (now Miva),Crawler (cometsearch@cometsystems.com)
Crawler.de / Abacho robot,Crawler admin@crawler.de
Crawler.de / Abacho robot,Crawler V 0.2.x admin@crawler.de
Alexa crawler,crawler@alexa.com
Pinpoint WAP search robot,CrawlerBoy Pinpoint.com
Crawlly Beta search - Germany (72.232.194.2xx),Crawllybot/0.1 (Crawllybot; +http://www.crawlly.com; crawler@crawlly.com)
Creatice Commons using Nutch open source robot,CreativeCommons/0.06-dev (Nutch; http://www.nutch.org/docs/en/bot.html; nutch-agent@lists.sourceforge.net)
Cricket A100 cell phone browser,Cricket-A100/1.0 UP.Browser/6.3.0.7 (GUI) MMP/2.0
Croccrawler robot,CrocCrawler vx.3 [en] (http://www.croccrawler.com) (X11; I; Linux 2.0.44 i686)
Web mining project from CSCI 659 (computer science course) at Indiana Univerity,csci_b659/0.13
CSE HTML Validator for Windows,CSE HTML Validator Professional (http://www.htmlvalidator.com/)
Cuam - IE based browser,Cuam Ver0.050bx
Cuasar (Spain) music / ringtone search spider,Cuasarbot/0.9b http://www.cuasar.com/spider_beta/ 
Curl file transferring tool,curl/7.10.x (i386-redhat-linux-gnu) libcurl/7.10.x OpenSSL/0.9.7a ipv6 zlib/1.1.4
Curl file transferring tool,curl/7.7.x (i386--freebsd4.3) libcurl 7.7.x (SSL 0.9.6) (ipv6 enabled)
Curl file transferring tool,curl/7.8 (i686-pc-linux-gnu) libcurl 7.8 (OpenSSL 0.9.6)
Curl file transferring tool,curl/7.9.x (win32) libcurl 7.9.x
CurryGuide UK link check robot,CurryGuide SiteScan 1.1
Custo web site spidering tool (link checking),Custo x.x (www.netwu.com)
Bisnisseek (was www.bisnisseek.com) robot,Custom Spider www.bisnisseek.com /1.0
Cyberdog Mac Browser (was www.cyberdog.org),Cyberdog/2.0 (Macintosh; 68k)
CyberPatrol LLC robot for web filtering software,CyberPatrol SiteCat Webbot (http://www.cyberpatrol.com/cyberpatrolcrawler.asp)
CyberSpyder Link Test software,CyberSpyder Link Test/2.1.12 (admin@mspennyworth.com)
Cydral image & site search spider,CydralSpider/1.x (Cydral Web Image Search; http://www.cydral.com)
Cydral image & site search spider,CydralSpider/3.0 (Cydral Image Search; http://www.cydral.com)
Downloadaccelerator download manager,DA 3.5 (www.lidan.com)
Downloadaccelerator download manager,DA 4.0
Downloadaccelerator download manager,DA 4.0 (www.downloadaccelerator.com)
Downloadaccelerator download manager,DA 5.0
Downloadaccelerator download manager,DA 7.0
Download Accelerator Plus download manager,DAP x.x
PowerTCP ActiveX control tool,Dart Communications PowerTCP
Unknown bot from Kornet Korea (218.149.129.xxx) scans for Perl Awstats,DataCha0s/2.0
Unknown UA looking for Awstats Perl components,DataCha0s/2.0
INFOMINE/iVia Scholary Internet Resource Collections robot,DataFountains/DMOZ Downloader
INFOMINE/iVia Scholary Internet Resource Collections robot,DataFountains/Dmoz Downloader (http://ivia.ucr.edu/useragents.shtml)
